Collection Site Name,Collection Site Type,Operator Type,Site ID,Service Partner,Address Line 1,Address Line 2,Address City,Address Postal / Zip Code,Community,Region/District,Service Area,Address Latitude,Address Longitude,Paints and Coatings,HHW/HSP,Alarms,Lights,Paints and Coatings2,Start Date - Paints and Coating,End Date - Paints and Coatings,Lights3,Lights - Start Date,Lights - End Date,Solvents,Solvents - Start Date,Solvents - End Date,Pesticides,Pesticides - Start Date,Pesticides - End Date,Fertilizers,Fertilizers - Start Date,Fertilizers - End Date,PaintShare,PaintShare - Start Date,PaintShare - End Date,Residential,Commercial,Industrial,Institutional
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair Township,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,05/25/2024,05/25/2024,1,05/25/2024,05/25/2024,1,05/25/2024,05/25/2024,1,05/25/2024,05/25/2024,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair Township,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,06/22/2024,06/22/2024,1,06/22/2024,06/22/2024,1,06/22/2024,06/22/2024,1,06/22/2024,06/22/2024,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair Township,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,09/21/2024,09/21/2024,1,09/21/2024,09/21/2024,1,09/21/2024,09/21/2024,1,09/21/2024,09/21/2024,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair Township,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,03/25/2023,03/25/2023,1,03/25/2023,03/25/2023,1,03/25/2023,03/25/2023,1,03/25/2023,03/25/2023,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair Township,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,04/29/2023,04/29/2023,1,04/29/2023,04/29/2023,1,04/29/2023,04/29/2023,1,04/29/2023,04/29/2023,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair Township,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,05/27/2023,05/27/2023,1,05/27/2023,05/27/2023,1,05/27/2023,05/27/2023,1,05/27/2023,05/27/2023,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair Township,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,06/24/2023,06/24/2023,1,06/24/2023,06/24/2023,1,06/24/2023,06/24/2023,1,06/24/2023,06/24/2023,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair Township,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,09/30/2023,09/30/2023,1,09/30/2023,09/30/2023,1,09/30/2023,09/30/2023,1,09/30/2023,09/30/2023,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair Township,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,10/28/2023,10/28/2023,1,10/28/2023,10/28/2023,1,10/28/2023,10/28/2023,1,10/28/2023,10/28/2023,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,03/29/2025,03/29/2025,1,03/29/2025,03/29/2025,1,03/29/2025,03/29/2025,1,03/29/2025,03/29/2025,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,04/26/2025,04/26/2025,1,04/26/2025,04/26/2025,1,04/26/2025,04/26/2025,1,04/26/2025,04/26/2025,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,05/31/2025,05/31/2025,1,05/31/2025,05/31/2025,1,05/31/2025,05/31/2025,1,05/31/2025,05/31/2025,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,06/21/2025,06/21/2025,1,06/21/2025,06/21/2025,1,06/21/2025,06/21/2025,1,06/21/2025,06/21/2025,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,09/20/2025,09/20/2025,1,09/20/2025,09/20/2025,1,09/20/2025,09/20/2025,1,09/20/2025,09/20/2025,,,,,,,1,,,
Event - Clean Harbors Facility (Lambton),Collection Event,Municipal,1269,THE CORPORATION OF THE COUNTY OF LAMBTON,4090 Telfer Road,,St. Clair,N0N 1G0,St. Clair,Lambton County,Zone 9,42.87854,-82.30215,1,1,,1,1,10/25/2025,10/25/2025,1,10/25/2025,10/25/2025,1,10/25/2025,10/25/2025,1,10/25/2025,10/25/2025,,,,,,,1,,,
Event - Espanola Public Works Dept.,Collection Event,Municipal,3076,CORPORATION OF THE TOWN OF ESPANOLA,596 Second Ave.,,Espanola,P5E 1C4,Espanola,Sudbury District,Zone 7,46.257463,-81.774085,1,1,,1,1,04/27/2024,04/27/2024,1,04/27/2024,04/27/2024,1,04/27/2024,04/27/2024,1,04/27/2024,04/27/2024,,,,,,,1,,,
Event - Espanola Public Works Dept.,Collection Event,Municipal,3076,CORPORATION OF THE TOWN OF ESPANOLA,596 Second Ave.,,Espanola,P5E 1C4,Espanola,Bruce County,Zone 7,46.257463,-81.774085,1,1,,,1,04/29/2023,04/29/2023,,,,1,04/29/2023,04/29/2023,1,04/29/2023,04/29/2023,,,,,,,1,,,
Event - St. Edmunds Landfill Site (Bruce County),Collection Event,Municipal,1091,CORPORATION OF THE COUNTY OF BRUCE,71 McArthur Road,,Tobermory,N0H 2R0,Northern Bruce Peninsula,Bruce County,Zone 2,45.217965,-81.6524948,1,1,,1,1,08/10/2024,08/10/2024,1,08/10/2024,08/10/2024,1,08/10/2024,08/10/2024,1,08/10/2024,08/10/2024,,,,,,,1,,,
Event - St. Edmunds Landfill Site (Bruce County),Collection Event,Municipal,1091,CORPORATION OF THE COUNTY OF BRUCE,71 McArthur Road,,Tobermory,N0H 2R0,Northern Bruce Peninsula,Bruce County,Zone 2,45.217965,-81.6524948,1,1,,,1,07/08/2023,07/08/2023,,,,1,07/08/2023,07/08/2023,1,07/08/2023,07/08/2023,,,,,,,1,,,
Event - St. Edmunds Landfill Site (Bruce County),Collection Event,Municipal,1091,CORPORATION OF THE COUNTY OF BRUCE,71 McArthur Road,,Northern Bruce Peninsula,N0H 2R0,Northern Bruce Peninsula,Bruce County,Zone 2,45.217965,-81.6524948,1,1,,1,1,08/16/2025,08/16/2025,1,08/16/2025,08/16/2025,1,08/16/2025,08/16/2025,1,08/16/2025,08/16/2025,,,,,,,1,,,
Event - Kincardine Public Works Yard (Bruce County),Collection Event,Municipal,1087,CORPORATION OF THE COUNTY OF BRUCE,140 Valentine Ave,,Kincardine,N2Z 2X6,Kincardine,Bruce County,Zone 2,44.1578415,-81.639098,1,1,,1,1,05/11/2024,05/11/2024,1,05/11/2024,05/11/2024,1,05/11/2024,05/11/2024,1,05/11/2024,05/11/2024,,,,,,,1,,,
Event - Kincardine Public Works Yard (Bruce County),Collection Event,Municipal,1087,CORPORATION OF THE COUNTY OF BRUCE,140 Valentine Ave,,Kincardine,N2Z 2X6,Kincardine,Bruce County,Zone 2,44.1578415,-81.639098,1,1,,1,1,07/13/2024,07/13/2024,1,07/13/2024,07/13/2024,1,07/13/2024,07/13/2024,1,07/13/2024,07/13/2024,,,,,,,1,,,
Event - Kincardine Public Works Yard (Bruce County),Collection Event,Municipal,1087,CORPORATION OF THE COUNTY OF BRUCE,140 Valentine Ave,,Kincardine,N2Z 2X6,Kincardine,Bruce County,Zone 2,44.1578415,-81.639098,1,1,,,1,05/27/2023,05/27/2023,,,,1,05/27/2023,05/27/2023,1,05/27/2023,05/27/2023,,,,,,,1,,,
Event - Kincardine Public Works Yard (Bruce County),Collection Event,Municipal,1087,CORPORATION OF THE COUNTY OF BRUCE,140 Valentine Ave,,Kincardine,N2Z 2X6,Kincardine,Bruce County,Zone 2,44.1578415,-81.639098,1,1,,,1,08/12/2023,08/12/2023,,,,1,08/12/2023,08/12/2023,1,08/12/2023,08/12/2023,,,,,,,1,,,
Event - Kincardine Public Works Yard (Bruce County),Collection Event,Municipal,1087,CORPORATION OF THE COUNTY OF BRUCE,140 Valentine Ave,,Kincardine,N2Z 2X6,Kincardine,Bruce County,Zone 2,44.1578415,-81.639098,1,1,,1,1,05/10/2025,05/10/2025,1,05/10/2025,05/10/2025,1,05/10/2025,05/10/2025,1,05/10/2025,05/10/2025,,,,,,,1,,,
Event - Kincardine Public Works Yard (Bruce County),Collection Event,Municipal,1087,CORPORATION OF THE COUNTY OF BRUCE,140 Valentine Ave,,Kincardine,N2Z 2X6,Kincardine,Bruce County,Zone 2,44.1578415,-81.639098,1,1,,1,1,07/12/2025,07/12/2025,1,07/12/2025,07/12/2025,1,07/12/2025,07/12/2025,1,07/12/2025,07/12/2025,,,,,,,1,,,
Event - Lucknow Bruce County Highways Garage,Collection Event,Municipal,1084,CORPORATION OF THE COUNTY OF BRUCE,545 Ludgard St.,,Lucknow,N0G 2H0,Huron-Kinloss,Bruce County,Zone 2,43.96,-81.5,1,1,,1,1,08/17/2024,08/17/2024,1,08/17/2024,08/17/2024,1,08/17/2024,08/17/2024,1,08/17/2024,08/17/2024,,,,,,,1,,,
Event - Lucknow Bruce County Highways Garage,Collection Event,Municipal,1084,CORPORATION OF THE COUNTY OF BRUCE,545 Ludgard St.,,Lucknow,N0G 2H0,Huron-Kinloss,Bruce County,Zone 2,43.96,-81.5,1,1,,,1,06/10/2023,06/10/2023,,,,1,06/10/2023,06/10/2023,1,06/10/2023,06/10/2023,,,,,,,1,,,
Event - Lucknow Bruce County Highways Garage,Collection Event,Municipal,1084,CORPORATION OF THE COUNTY OF BRUCE,545 Ludgard St.,,Huron-Kinloss,N0G 2H0,Huron-Kinloss,Bruce County,Zone 2,43.96,-81.5,1,1,,1,1,09/06/2025,09/06/2025,1,09/06/2025,09/06/2025,1,09/06/2025,09/06/2025,1,09/06/2025,09/06/2025,,,,,,,1,,,
Event - Southampton Works Shop (Bruce County),Collection Event,Municipal,1086,CORPORATION OF THE COUNTY OF BRUCE,429 Peel St.,,Southampton,N0H 2L0,Saugeen Shores,Bruce County,Zone 2,44.4827882,-81.3664573,1,1,,1,1,05/04/2024,05/04/2024,1,05/04/2024,05/04/2024,1,05/04/2024,05/04/2024,1,05/04/2024,05/04/2024,,,,,,,1,,,
Event - Southampton Works Shop (Bruce County),Collection Event,Municipal,1086,CORPORATION OF THE COUNTY OF BRUCE,429 Peel St.,,Southampton,N0H 2L0,Saugeen Shores,Bruce County,Zone 2,44.4827882,-81.3664573,1,1,,1,1,09/21/2024,09/21/2024,1,09/21/2024,09/21/2024,1,09/21/2024,09/21/2024,1,09/21/2024,09/21/2024,,,,,,,1,,,
Event - Southampton Works Shop (Bruce County),Collection Event,Municipal,1086,CORPORATION OF THE COUNTY OF BRUCE,429 Peel St.,,Southampton,N0H 2L0,Saugeen Shores,Bruce County,Zone 2,44.4827882,-81.3664573,1,1,,,1,05/06/2023,05/06/2023,,,,1,05/06/2023,05/06/2023,1,05/06/2023,05/06/2023,,,,,,,1,,,
Event - Southampton Works Shop (Bruce County),Collection Event,Municipal,1086,CORPORATION OF THE COUNTY OF BRUCE,429 Peel St.,,Southampton,N0H 2L0,Saugeen Shores,Bruce County,Zone 2,44.4827882,-81.3664573,1,1,,,1,09/30/2023,09/30/2023,,,,1,09/30/2023,09/30/2023,1,09/30/2023,09/30/2023,,,,,,,1,,,
Event - Southampton Works Shop (Bruce County),Collection Event,Municipal,1086,CORPORATION OF THE COUNTY OF BRUCE,429 Peel St.,,Saugeen Shores,N0H 2L0,Saugeen Shores,Bruce County,Zone 2,44.4827882,-81.3664573,1,1,,1,1,05/03/2025,05/03/2025,1,05/03/2025,05/03/2025,1,05/03/2025,05/03/2025,1,05/03/2025,05/03/2025,,,,,,,1,,,
Event - Southampton Works Shop (Bruce County),Collection Event,Municipal,1086,CORPORATION OF THE COUNTY OF BRUCE,429 Peel St.,,Saugeen Shores,N0H 2L0,Saugeen Shores,Bruce County,Zone 2,44.4827882,-81.3664573,1,1,,1,1,09/27/2025,09/27/2025,1,09/27/2025,09/27/2025,1,09/27/2025,09/27/2025,1,09/27/2025,09/27/2025,,,,,,,1,,,
Event - Archie Dillion Sportsplex (Timmins),Collection Event,Municipal,3142,CORPORATION OF THE CITY OF TIMMINS,396 Theriault Blvd,,Timmins,P4N 1B3,Timmins,Cochrane District,Zone 7,48.485573,-81.346142,1,1,,1,1,06/10/2023,06/10/2023,1,06/10/2023,06/10/2023,1,06/10/2023,06/10/2023,1,06/10/2023,06/10/2023,,,,,,,1,,,
Event - Eastnor Landfill Site (Bruce County),Collection Event,Municipal,1089,CORPORATION OF THE COUNTY OF BRUCE,1252 West Road,,Lions Head,N0H 1W0,Northern Bruce Peninsula,Bruce County,Zone 2,44.9336331,-81.3164319,1,1,,1,1,06/22/2024,06/22/2024,1,06/22/2024,06/22/2024,1,06/22/2024,06/22/2024,1,06/22/2024,06/22/2024,,,,,,,1,,,
Event - Eastnor Landfill Site (Bruce County),Collection Event,Municipal,1089,CORPORATION OF THE COUNTY OF BRUCE,1252 West Road,,Lions Head,N0H 1W0,Northern Bruce Peninsula,Bruce County,Zone 2,44.9336331,-81.3164319,1,1,,,1,08/19/2023,08/19/2023,,,,1,08/19/2023,08/19/2023,1,08/19/2023,08/19/2023,,,,,,,1,,,
Event - Eastnor Landfill Site (Bruce County),Collection Event,Municipal,1089,CORPORATION OF THE COUNTY OF BRUCE,1252 West Road,,Northern Bruce Peninsula,N0H 1W0,Northern Bruce Peninsula,Bruce County,Zone 2,44.9336331,-81.3164319,1,1,,1,1,07/05/2025,07/05/2025,1,07/05/2025,07/05/2025,1,07/05/2025,07/05/2025,1,07/05/2025,07/05/2025,,,,,,,1,,,
Event - Paisley Bruce County Highways Garage,Collection Event,Municipal,1092,CORPORATION OF THE COUNTY OF BRUCE,242 Canrobert St.,,Paisley,N0G 2N0,Arran-Elderslie,Bruce County,Zone 2,44.2961594,-81.2713517,1,1,,1,1,07/06/2024,07/06/2024,1,07/06/2024,07/06/2024,1,07/06/2024,07/06/2024,1,07/06/2024,07/06/2024,,,,,,,1,,,
Event - Paisley Bruce County Highways Garage,Collection Event,Municipal,1092,CORPORATION OF THE COUNTY OF BRUCE,242 Canrobert St.,,Paisley,N0G 2N0,Arran-Elderslie,Haliburton County,Zone 2,44.2961594,-81.2713517,1,1,,,1,07/22/2023,07/22/2023,,,,1,07/22/2023,07/22/2023,1,07/22/2023,07/22/2023,,,,,,,1,,,
Event - Paisley Bruce County Highways Garage,Collection Event,Municipal,1092,CORPORATION OF THE COUNTY OF BRUCE,242 Canrobert St.,,Arran-Elderslie,N0G 2N0,Arran-Elderslie,Bruce County,Zone 2,44.2961594,-81.2713517,1,1,,1,1,06/14/2025,06/14/2025,1,06/14/2025,06/14/2025,1,06/14/2025,06/14/2025,1,06/14/2025,06/14/2025,,,,,,,1,,,
Event - Amabel Works Yard (Bruce County),Collection Event,Municipal,1088,CORPORATION OF THE COUNTY OF BRUCE,413 Municipal Road,,Sauble Beach,N0H 2G0,South Bruce Peninsula,Bruce County,Zone 2,44.6202103,-81.2320191,1,1,,1,1,08/24/2024,08/24/2024,1,01/01/2023,08/24/2024,1,08/24/2024,08/24/2024,1,08/24/2024,08/24/2024,,,,,,,1,,,
Event - Amabel Works Yard (Bruce County),Collection Event,Municipal,1088,CORPORATION OF THE COUNTY OF BRUCE,413 Municipal Road,,Sauble Beach,N0H 2G0,South Bruce Peninsula,Bruce County,Zone 2,44.6202103,-81.2320191,1,1,,,1,08/26/2023,08/26/2023,,,,1,08/26/2023,08/26/2023,1,08/26/2023,08/26/2023,,,,,,,1,,,
Event - Amabel Works Yard (Bruce County),Collection Event,Municipal,1088,CORPORATION OF THE COUNTY OF BRUCE,413 Municipal Road,,South Bruce Peninsula,N0H 2G0,South Bruce Peninsula,Bruce County,Zone 2,44.6202103,-81.2320191,1,1,,1,1,08/23/2025,08/23/2025,1,08/23/2025,08/23/2025,1,08/23/2025,08/23/2025,1,08/23/2025,08/23/2025,,,,,,,1,,,
Event - Walkerton Bruce County Highways Garage,Collection Event,Municipal,1093,CORPORATION OF THE COUNTY OF BRUCE,94 Bruce Road 2,,Walkerton,N0G 2V0,Brockton,Bruce County,Zone 2,44.1338281,-81.1516342,1,1,,1,1,06/01/2024,06/01/2024,1,06/01/2024,06/01/2024,1,06/01/2024,06/01/2024,1,06/01/2024,06/01/2024,,,,,,,1,,,
Event - Walkerton Bruce County Highways Garage,Collection Event,Municipal,1093,CORPORATION OF THE COUNTY OF BRUCE,94 Bruce Road 2,,Walkerton,N0G 2V0,Brockton,Bruce County,Zone 2,44.1338281,-81.1516342,1,1,,1,1,09/14/2024,09/14/2024,1,09/14/2024,09/14/2024,1,09/14/2024,09/14/2024,1,09/14/2024,09/14/2024,,,,,,,1,,,
Event - Walkerton Bruce County Highways Garage,Collection Event,Municipal,1093,CORPORATION OF THE COUNTY OF BRUCE,94 Bruce Road 2,,Walkerton,N0G 2V0,Brockton,Bruce County,Zone 2,44.1338281,-81.1516342,1,1,,,1,06/24/2023,06/24/2023,,,,1,06/24/2023,06/24/2023,1,06/24/2023,06/24/2023,,,,,,,1,,,
Event - Walkerton Bruce County Highways Garage,Collection Event,Municipal,1093,CORPORATION OF THE COUNTY OF BRUCE,94 Bruce Road 2,,Walkerton,N0G 2V0,Brockton,Hastings County,Zone 2,44.1338281,-81.1516342,1,1,,,1,09/23/2023,09/23/2023,,,,1,09/23/2023,09/23/2023,1,09/23/2023,09/23/2023,,,,,,,1,,,
Event - Walkerton Bruce County Highways Garage,Collection Event,Municipal,1093,CORPORATION OF THE COUNTY OF BRUCE,94 Bruce Road 2,,Brockton,N0G 2V0,Brockton,Bruce County,Zone 2,44.1338281,-81.1516342,1,1,,1,1,05/31/2025,05/31/2025,1,05/31/2025,05/31/2025,1,05/31/2025,05/31/2025,1,05/31/2025,05/31/2025,,,,,,,1,,,
Event - Walkerton Bruce County Highways Garage,Collection Event,Municipal,1093,CORPORATION OF THE COUNTY OF BRUCE,94 Bruce Road 2,,Brockton,N0G 2V0,Brockton,Bruce County,Zone 2,44.1338281,-81.1516342,1,1,,1,1,09/20/2025,09/20/2025,1,09/20/2025,09/20/2025,1,09/20/2025,09/20/2025,1,09/20/2025,09/20/2025,,,,,,,1,,,
Event - South Bruce Municipal Building (Mildmay),Collection Event,Municipal,3331,CORPORATION OF THE COUNTY OF BRUCE,169 Bruce County Road 3,,Mildmay,N0G 2J0,South Bruce,Brant County,Zone 2,44.0513696,-81.142879,1,1,,,1,06/03/2023,06/03/2023,,,,1,06/03/2023,06/03/2023,1,06/03/2023,06/03/2023,,,,,,,1,,,
Event - South Bruce Municipal Building (Mildmay),Collection Event,Municipal,3331,CORPORATION OF THE COUNTY OF BRUCE,169 Bruce County Road 3,,Mildmay,N0G 2J0,South Bruce,Bruce County,Zone 2,44.0513696,-81.142879,1,1,,1,1,08/09/2025,08/09/2025,1,08/09/2025,08/09/2025,1,08/09/2025,08/09/2025,1,08/09/2025,08/09/2025,,,,,,,1,,,
Event - South Bruce Peninsula Works Garage,Collection Event,Municipal,1090,CORPORATION OF THE COUNTY OF BRUCE,441048 Elm St.,,Wiarton,N0H 2T0,South Bruce Peninsula,Bruce County,Zone 2,44.7356916,-81.1354564,1,1,,1,1,07/20/2024,07/20/2024,1,07/20/2024,07/20/2024,1,07/20/2024,07/20/2024,1,07/20/2024,07/20/2024,,,,,,,1,,,
Event - South Bruce Peninsula Works Garage,Collection Event,Municipal,1090,CORPORATION OF THE COUNTY OF BRUCE,441048 Elm St.,,Wiarton,N0H 2T0,South Bruce Peninsula,Bruce County,Zone 2,44.7356916,-81.1354564,1,1,,,1,07/29/2023,07/29/2023,,,,1,07/29/2023,07/29/2023,1,07/29/2023,07/29/2023,,,,,,,1,,,
Event - South Bruce Peninsula Works Garage,Collection Event,Municipal,1090,CORPORATION OF THE COUNTY OF BRUCE,441048 Elm St.,,South Bruce Peninsula,N0H 2T0,South Bruce Peninsula,Bruce County,Zone 2,44.7356916,-81.1354564,1,1,,1,1,07/26/2025,07/26/2025,1,07/26/2025,07/26/2025,1,07/26/2025,07/26/2025,1,07/26/2025,07/26/2025,,,,,,,1,,,
Event - Municipal Operations Centre,Collection Event,Municipal,3443,CORPORATION OF THE SEPARATED TOWN OF ST. MARY'S,408 James Street South,,St. Marys,N4X 1B6,St. Marys,Perth County,Zone 8,43.24881067,-81.13500722,1,1,,1,1,04/13/2024,04/13/2024,1,04/13/2024,04/13/2024,1,04/13/2024,04/13/2024,1,04/13/2024,04/13/2024,,,,,,,1,,,
Event - Municipal Operations Centre,Collection Event,Municipal,3443,CORPORATION OF THE SEPARATED TOWN OF ST. MARY'S,408 James Street South,,St. Marys,N4X 1B6,St. Marys,Perth County,Zone 8,43.24881067,-81.13500722,1,1,,1,1,07/20/2024,07/20/2024,1,07/20/2024,07/20/2024,1,07/20/2024,07/20/2024,1,07/20/2024,07/20/2024,,,,,,,1,,,
Event - Municipal Operations Centre,Collection Event,Municipal,3443,CORPORATION OF THE SEPARATED TOWN OF ST. MARY'S,408 James Street South,,St. Marys,N4X 1B6,St. Marys,Perth County,Zone 8,43.24881067,-81.13500722,1,1,,1,1,10/26/2024,10/26/2024,1,10/26/2024,10/26/2024,1,10/26/2024,10/26/2024,1,10/26/2024,10/26/2024,,,,,,,1,,,
