community_name,census_year,population,tier,region,zone,province,is_active,start_date,end_date
Adelaide-Metcalfe,2000,3011,Lower Tier,Middlesex County,,Ontario,true,2000-01-01T00:00:00,
Adjala-Tosorontio,2000,10989,Lower Tier,Simcoe County,,Ontario,true,2000-01-01T00:00:00,
Admaston/Bromley,2000,2995,Lower Tier,Renfrew County,,Ontario,true,2000-01-01T00:00:00,
Ajax,2000,126666,Lower Tier,Durham Region,,Ontario,true,2000-01-01T00:00:00,
Alberton,2000,954,Single Tier,Rainy River District,,Ontario,true,2000-01-01T00:00:00,
Alfred and Plantagenet,2000,9949,Lower Tier,Prescott and Russell,,Ontario,true,2000-01-01T00:00:00,
Algoma - Territorial District,2000,9215,Territorial District,Algoma District,,Ontario,true,2000-01-01T00:00:00,
Algonquin Highlands,2000,2588,Lower Tier,Haliburton County,,Ontario,true,2000-01-01T00:00:00,
Alnwick/Haldimand,2000,7473,Lower Tier,Northumberland County,,Ontario,true,2000-01-01T00:00:00,
Amaranth,2000,4327,Lower Tier,Dufferin County,,Ontario,true,2000-01-01T00:00:00,
Amherstburg,2000,23524,Lower Tier,Essex County,,Ontario,true,2000-01-01T00:00:00,
Armour,2000,1459,Single Tier,Parry Sound District,,Ontario,true,2000-01-01T00:00:00,
Armstrong,2000,1199,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Arnprior,2000,9629,Lower Tier,Renfrew County,,Ontario,true,2000-01-01T00:00:00,
Arran-Elderslie,2000,6913,Lower Tier,Bruce County,,Ontario,true,2000-01-01T00:00:00,
Ashfield-Colborne-Wawanosh,2000,5884,Lower Tier,Huron County,,Ontario,true,2000-01-01T00:00:00,
Asphodel-Norwood,2000,4658,Lower Tier,Peterborough County,,Ontario,true,2000-01-01T00:00:00,
Assiginack,2000,1008,Single Tier,Manitoulin District,,Ontario,true,2000-01-01T00:00:00,
Athens,2000,3042,Lower Tier,Leeds and Grenville,,Ontario,true,2000-01-01T00:00:00,
Atikokan,2000,2642,Single Tier,Rainy River District,,Ontario,true,2000-01-01T00:00:00,
Augusta,2000,7386,Lower Tier,Leeds and Grenville,,Ontario,true,2000-01-01T00:00:00,
Brampton,2000,656480,Lower Tier,Peel Region,,Ontario,true,2000-01-01T00:00:00,
Aylmer,2000,7699,Lower Tier,Elgin County,,Ontario,true,2000-01-01T00:00:00,
Baldwin,2000,579,Single Tier,Sudbury District,,Ontario,true,2000-01-01T00:00:00,
Bancroft,2000,4065,Lower Tier,Hastings County,,Ontario,true,2000-01-01T00:00:00,
Barrie,2000,147829,Single Tier,Simcoe County,,Ontario,true,2000-01-01T00:00:00,
Bayham,2000,7096,Lower Tier,Elgin County,,Ontario,true,2000-01-01T00:00:00,
Beckwith,2000,9021,Lower Tier,Lanark County,,Ontario,true,2000-01-01T00:00:00,
Belleville,2000,55071,Single Tier,Hastings County,,Ontario,true,2000-01-01T00:00:00,
Billings,2000,753,Single Tier,Manitoulin District,,Ontario,true,2000-01-01T00:00:00,
Black River-Matheson,2000,2572,Single Tier,Cochrane District,,Ontario,true,2000-01-01T00:00:00,
Blandford-Blenheim,2000,7565,Lower Tier,Oxford County,,Ontario,true,2000-01-01T00:00:00,
Blind River,2000,3422,Single Tier,Algoma District,,Ontario,true,2000-01-01T00:00:00,
Bluewater,2000,7540,Lower Tier,Huron County,,Ontario,true,2000-01-01T00:00:00,
Bonfield,2000,2146,Single Tier,Nipissing District,,Ontario,true,2000-01-01T00:00:00,
Bonnechere Valley,2000,3898,Lower Tier,Renfrew County,,Ontario,true,2000-01-01T00:00:00,
Bracebridge,2000,17305,Lower Tier,Muskoka District,,Ontario,true,2000-01-01T00:00:00,
Bradford West Gwillimbury,2000,42880,Lower Tier,Simcoe County,,Ontario,true,2000-01-01T00:00:00,
Caledon,2000,76581,Lower Tier,Peel Region,,Ontario,true,2000-01-01T00:00:00,
Brant,2000,39474,Single Tier,Brant County,,Ontario,true,2000-01-01T00:00:00,
Brantford,2000,104688,Single Tier,Brant County,,Ontario,true,2000-01-01T00:00:00,
Brethour,2000,105,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Brighton,2000,12108,Lower Tier,Northumberland County,,Ontario,true,2000-01-01T00:00:00,
Brock,2000,12567,Lower Tier,Durham Region,,Ontario,true,2000-01-01T00:00:00,
Brockton,2000,9784,Lower Tier,Bruce County,,Ontario,true,2000-01-01T00:00:00,
Brockville,2000,22116,Single Tier,Leeds and Grenville,,Ontario,true,2000-01-01T00:00:00,
Brooke-Alvinston,2000,2359,Lower Tier,Lambton County,,Ontario,true,2000-01-01T00:00:00,
Bruce Mines,2000,582,Single Tier,Algoma District,,Ontario,true,2000-01-01T00:00:00,
"Brudenell, Lyndoch and Raglan",2000,1552,Lower Tier,Renfrew County,,Ontario,true,2000-01-01T00:00:00,
Burk's Falls,2000,957,Single Tier,Parry Sound District,,Ontario,true,2000-01-01T00:00:00,
Burlington,2000,186948,Lower Tier,Halton Region,,Ontario,true,2000-01-01T00:00:00,
Burpee and Mills,2000,382,Single Tier,Manitoulin District,,Ontario,true,2000-01-01T00:00:00,
Mississauga,2000,717961,Lower Tier,Peel Region,,Ontario,true,2000-01-01T00:00:00,
Callander,2000,3964,Single Tier,Parry Sound District,,Ontario,true,2000-01-01T00:00:00,
Calvin,2000,557,Single Tier,Nipissing District,,Ontario,true,2000-01-01T00:00:00,
Cambridge,2000,138479,Lower Tier,Waterloo Region,,Ontario,true,2000-01-01T00:00:00,
Carleton Place,2000,12517,Lower Tier,Lanark County,,Ontario,true,2000-01-01T00:00:00,
Carling,2000,1491,Single Tier,Parry Sound District,,Ontario,true,2000-01-01T00:00:00,
Carlow/Mayo,2000,953,Lower Tier,Hastings County,,Ontario,true,2000-01-01T00:00:00,
Casey,2000,341,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Casselman,2000,3960,Lower Tier,Prescott and Russell,,Ontario,true,2000-01-01T00:00:00,
Cavan-Monaghan,2000,10016,Lower Tier,Peterborough County,,Ontario,true,2000-01-01T00:00:00,
Central Elgin,2000,13746,Lower Tier,Elgin County,,Ontario,true,2000-01-01T00:00:00,
Central Frontenac,2000,4892,Lower Tier,Frontenac County,,Ontario,true,2000-01-01T00:00:00,
Central Huron,2000,7799,Lower Tier,Huron County,,Ontario,true,2000-01-01T00:00:00,
Central Manitoulin,2000,2235,Single Tier,Manitoulin District,,Ontario,true,2000-01-01T00:00:00,
Centre Hastings,2000,4801,Lower Tier,Hastings County,,Ontario,true,2000-01-01T00:00:00,
Centre Wellington,2000,31093,Lower Tier,Wellington County,,Ontario,true,2000-01-01T00:00:00,
Chamberlain,2000,311,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Champlain,2000,8665,Lower Tier,Prescott and Russell,,Ontario,true,2000-01-01T00:00:00,
Chapleau,2000,1942,Single Tier,Sudbury District,,Ontario,true,2000-01-01T00:00:00,
Chapple,2000,763,Single Tier,Rainy River District,,Ontario,true,2000-01-01T00:00:00,
Charlton and Dack,2000,686,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Chatham-Kent,2000,103988,Single Tier,Kent County,,Ontario,true,2000-01-01T00:00:00,
Chatsworth,2000,7080,Lower Tier,Grey County,,Ontario,true,2000-01-01T00:00:00,
Chisholm,2000,1312,Single Tier,Nipissing District,,Ontario,true,2000-01-01T00:00:00,
Clarence-Rockland,2000,26505,Lower Tier,Prescott and Russell,,Ontario,true,2000-01-01T00:00:00,
Clarington,2000,101427,Lower Tier,Durham Region,,Ontario,true,2000-01-01T00:00:00,
Clearview,2000,14814,Lower Tier,Simcoe County,,Ontario,true,2000-01-01T00:00:00,
Cobalt,2000,989,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Cobourg,2000,20519,Lower Tier,Northumberland County,,Ontario,true,2000-01-01T00:00:00,
Cochrane,2000,5390,Single Tier,Cochrane District,,Ontario,true,2000-01-01T00:00:00,
Cochrane - Territorial District,2000,5752,Territorial District,Cochrane District,,Ontario,true,2000-01-01T00:00:00,
Cockburn Island,2000,16,Single Tier,Manitoulin District,,Ontario,true,2000-01-01T00:00:00,
Coleman,2000,517,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Collingwood,2000,24811,Lower Tier,Simcoe County,,Ontario,true,2000-01-01T00:00:00,
Conmee,2000,798,Single Tier,Thunderbay District,,Ontario,true,2000-01-01T00:00:00,
Cornwall,2000,47845,Single Tier,"Stormont, Dundas and Glengarry",,Ontario,true,2000-01-01T00:00:00,
Cramahe,2000,6509,Lower Tier,Northumberland County,,Ontario,true,2000-01-01T00:00:00,
Dawn-Euphemia,2000,1968,Lower Tier,Lambton County,,Ontario,true,2000-01-01T00:00:00,
Dawson,2000,399,Single Tier,Rainy River District,,Ontario,true,2000-01-01T00:00:00,
Deep River,2000,4175,Lower Tier,Renfrew County,,Ontario,true,2000-01-01T00:00:00,
Deseronto,2000,1747,Lower Tier,Hastings County,,Ontario,true,2000-01-01T00:00:00,
Dorion,2000,375,Single Tier,Thunderbay District,,Ontario,true,2000-01-01T00:00:00,
Douro-Dummer,2000,7632,Lower Tier,Peterborough County,,Ontario,true,2000-01-01T00:00:00,
Drummond/North Elmsley,2000,8183,Lower Tier,Lanark County,,Ontario,true,2000-01-01T00:00:00,
Dryden,2000,7388,Single Tier,Kenora District,,Ontario,true,2000-01-01T00:00:00,
Dubreuilville,2000,576,Single Tier,Algoma District,,Ontario,true,2000-01-01T00:00:00,
Dutton/Dunwich,2000,4152,Lower Tier,Elgin County,,Ontario,true,2000-01-01T00:00:00,
"Dysart, Dudley, Harcourt, Guilford, Harburn, Bruton, Havelock, Eyre and Clyde",2000,7182,Lower Tier,Haliburton County,,Ontario,true,2000-01-01T00:00:00,
Ear Falls,2000,924,Single Tier,Kenora District,,Ontario,true,2000-01-01T00:00:00,
East Ferris,2000,4946,Single Tier,Nipissing District,,Ontario,true,2000-01-01T00:00:00,
East Garafraxa,2000,2794,Lower Tier,Dufferin County,,Ontario,true,2000-01-01T00:00:00,
Toronto,2000,2794356,Single Tier,Toronto,,Ontario,true,2000-01-01T00:00:00,
East Hawkesbury,2000,3418,Lower Tier,Prescott and Russell,,Ontario,true,2000-01-01T00:00:00,
East Zorra-Tavistock,2000,7841,Lower Tier,Oxford County,,Ontario,true,2000-01-01T00:00:00,
Edwardsburgh/Cardinal,2000,7505,Lower Tier,Leeds and Grenville,,Ontario,true,2000-01-01T00:00:00,
Elizabethtown-Kitley,2000,9545,Lower Tier,Leeds and Grenville,,Ontario,true,2000-01-01T00:00:00,
Elliot Lake,2000,11372,Single Tier,Algoma District,,Ontario,true,2000-01-01T00:00:00,
Emo,2000,1204,Single Tier,Rainy River District,,Ontario,true,2000-01-01T00:00:00,
Englehart,2000,1442,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Enniskillen,2000,2825,Lower Tier,Lambton County,,Ontario,true,2000-01-01T00:00:00,
Erin,2000,11981,Lower Tier,Wellington County,,Ontario,true,2000-01-01T00:00:00,
Espanola,2000,5185,Single Tier,Sudbury District,,Ontario,true,2000-01-01T00:00:00,
Essa,2000,22970,Lower Tier,Simcoe County,,Ontario,true,2000-01-01T00:00:00,
Essex,2000,21216,Lower Tier,Essex County,,Ontario,true,2000-01-01T00:00:00,
Evanturel,2000,502,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Faraday,2000,1612,Lower Tier,Hastings County,,Ontario,true,2000-01-01T00:00:00,
Fauquier-Strickland,2000,467,Single Tier,Cochrane District,,Ontario,true,2000-01-01T00:00:00,
Fort Erie,2000,32901,Lower Tier,Niagara Region,,Ontario,true,2000-01-01T00:00:00,
Fort Frances,2000,7466,Single Tier,Rainy River District,,Ontario,true,2000-01-01T00:00:00,
French River,2000,2828,Single Tier,Sudbury District,,Ontario,true,2000-01-01T00:00:00,
Front of Yonge,2000,2595,Lower Tier,Leeds and Grenville,,Ontario,true,2000-01-01T00:00:00,
Frontenac Islands,2000,1930,Lower Tier,Frontenac County,,Ontario,true,2000-01-01T00:00:00,
Gananoque,2000,5383,Single Tier,Leeds and Grenville,,Ontario,true,2000-01-01T00:00:00,
Gauthier,2000,151,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Georgian Bay,2000,3441,Lower Tier,Muskoka District,,Ontario,true,2000-01-01T00:00:00,
Georgian Bluffs,2000,11100,Lower Tier,Grey County,,Ontario,true,2000-01-01T00:00:00,
Aurora,2000,62057,Lower Tier,York Region,,Ontario,true,2000-01-01T00:00:00,
Gillies,2000,441,Single Tier,Thunderbay District,,Ontario,true,2000-01-01T00:00:00,
Goderich,2000,7881,Lower Tier,Huron County,,Ontario,true,2000-01-01T00:00:00,
Gordon/Barrie Island,2000,613,Single Tier,Manitoulin District,,Ontario,true,2000-01-01T00:00:00,
Gore Bay,2000,808,Single Tier,Manitoulin District,,Ontario,true,2000-01-01T00:00:00,
Grand Valley,2000,3851,Lower Tier,Dufferin County,,Ontario,true,2000-01-01T00:00:00,
Gravenhurst,2000,13157,Lower Tier,Muskoka District,,Ontario,true,2000-01-01T00:00:00,
Greater Madawaska,2000,2864,Lower Tier,Renfrew County,,Ontario,true,2000-01-01T00:00:00,
Greater Napanee,2000,16879,Lower Tier,Lennox and Addington County,,Ontario,true,2000-01-01T00:00:00,
Greater Sudbury,2000,166004,Single Tier,Sudbury Regional Municipality,,Ontario,true,2000-01-01T00:00:00,
Greenstone,2000,4309,Single Tier,Thunderbay District,,Ontario,true,2000-01-01T00:00:00,
Grey Highlands,2000,10424,Lower Tier,Grey County,,Ontario,true,2000-01-01T00:00:00,
Grimsby,2000,28883,Lower Tier,Niagara Region,,Ontario,true,2000-01-01T00:00:00,
Guelph,2000,143740,Single Tier,Wellington County,,Ontario,true,2000-01-01T00:00:00,
Guelph/Eramosa,2000,13904,Lower Tier,Wellington County,,Ontario,true,2000-01-01T00:00:00,
Haldimand,2000,49216,Single Tier,Haldimand-Norfolk Region,,Ontario,true,2000-01-01T00:00:00,
Halton Hills,2000,62951,Lower Tier,Halton Region,,Ontario,true,2000-01-01T00:00:00,
Hamilton,2000,569353,Single Tier,Hamilton-Wentworth Region,,Ontario,true,2000-01-01T00:00:00,
Hamilton/Northumberland,2000,11059,Lower Tier,Northumberland County,,Ontario,true,2000-01-01T00:00:00,
Hanover,2000,7967,Lower Tier,Grey County,,Ontario,true,2000-01-01T00:00:00,
Harley,2000,524,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Harris,2000,530,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Hastings Highlands,2000,4385,Lower Tier,Hastings County,,Ontario,true,2000-01-01T00:00:00,
Havelock-Belmont-Methuen,2000,5083,Lower Tier,Peterborough County,,Ontario,true,2000-01-01T00:00:00,
Hawkesbury,2000,10194,Lower Tier,Prescott and Russell,,Ontario,true,2000-01-01T00:00:00,
"Head, Clara and Maria",2000,267,Lower Tier,Renfrew County,,Ontario,true,2000-01-01T00:00:00,
Hearst,2000,4794,Single Tier,Cochrane District,,Ontario,true,2000-01-01T00:00:00,
Highlands East,2000,3830,Lower Tier,Haliburton County,,Ontario,true,2000-01-01T00:00:00,
Hilliard,2000,215,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Hilton,2000,382,Territorial District,Algoma District,,Ontario,true,2000-01-01T00:00:00,
Hilton Beach,2000,198,Single Tier,Algoma District,,Ontario,true,2000-01-01T00:00:00,
Hornepayne,2000,968,Single Tier,Algoma District,,Ontario,true,2000-01-01T00:00:00,
Horton,2000,3182,Lower Tier,Renfrew County,,Ontario,true,2000-01-01T00:00:00,
Howick,2000,4045,Lower Tier,Huron County,,Ontario,true,2000-01-01T00:00:00,
Hudson,2000,530,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Huntsville,2000,21147,Lower Tier,Muskoka District,,Ontario,true,2000-01-01T00:00:00,
Huron East,2000,9512,Lower Tier,Huron County,,Ontario,true,2000-01-01T00:00:00,
Huron Shores,2000,1860,Single Tier,Algoma District,,Ontario,true,2000-01-01T00:00:00,
Huron-Kinloss,2000,7723,Lower Tier,Bruce County,,Ontario,true,2000-01-01T00:00:00,
Ignace,2000,1206,Single Tier,Kenora District,,Ontario,true,2000-01-01T00:00:00,
Ingersoll,2000,13693,Lower Tier,Oxford County,,Ontario,true,2000-01-01T00:00:00,
Innisfil,2000,43326,Lower Tier,Simcoe County,,Ontario,true,2000-01-01T00:00:00,
Iroquois Falls,2000,4418,Single Tier,Cochrane District,,Ontario,true,2000-01-01T00:00:00,
James,2000,348,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Jocelyn,2000,314,Single Tier,Algoma District,,Ontario,true,2000-01-01T00:00:00,
Johnson,2000,749,Single Tier,Algoma District,,Ontario,true,2000-01-01T00:00:00,
Joly,2000,293,Single Tier,Parry Sound District,,Ontario,true,2000-01-01T00:00:00,
Kapuskasing,2000,8057,Single Tier,Cochrane District,,Ontario,true,2000-01-01T00:00:00,
Kawartha Lakes,2000,79247,Single Tier,Victoria County,,Ontario,true,2000-01-01T00:00:00,
Kearney,2000,974,Single Tier,Parry Sound District,,Ontario,true,2000-01-01T00:00:00,
Kenora,2000,14967,Single Tier,Kenora District,,Ontario,true,2000-01-01T00:00:00,
Kenora - Territorial District,2000,29445,Territorial District,Kenora District,,Ontario,true,2000-01-01T00:00:00,
Kerns,2000,330,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
"Killaloe, Hagarty and Richards",2000,2410,Lower Tier,Renfrew County,,Ontario,true,2000-01-01T00:00:00,
Killarney,2000,397,Single Tier,Sudbury District,,Ontario,true,2000-01-01T00:00:00,
Kincardine,2000,12268,Lower Tier,Bruce County,,Ontario,true,2000-01-01T00:00:00,
East Gwillimbury,2000,34637,Lower Tier,York Region,,Ontario,true,2000-01-01T00:00:00,
Kingston,2000,132485,Single Tier,Frontenac County,,Ontario,true,2000-01-01T00:00:00,
Kingsville,2000,22119,Lower Tier,Essex County,,Ontario,true,2000-01-01T00:00:00,
Kirkland Lake,2000,7750,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Kitchener,2000,256885,Lower Tier,Waterloo Region,,Ontario,true,2000-01-01T00:00:00,
La Vallee,2000,788,Single Tier,Rainy River District,,Ontario,true,2000-01-01T00:00:00,
Laird,2000,1121,Single Tier,Algoma District,,Ontario,true,2000-01-01T00:00:00,
Lake of Bays,2000,3759,Lower Tier,Muskoka District,,Ontario,true,2000-01-01T00:00:00,
Lake of the Woods,2000,308,Single Tier,Rainy River District,,Ontario,true,2000-01-01T00:00:00,
Lakeshore,2000,40410,Lower Tier,Essex County,,Ontario,true,2000-01-01T00:00:00,
Lambton Shores,2000,11876,Lower Tier,Lambton County,,Ontario,true,2000-01-01T00:00:00,
Lanark Highlands,2000,5737,Lower Tier,Lanark County,,Ontario,true,2000-01-01T00:00:00,
Larder Lake,2000,745,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
LaSalle,2000,32721,Lower Tier,Essex County,,Ontario,true,2000-01-01T00:00:00,
Latchford,2000,355,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Laurentian Hills,2000,2885,Lower Tier,Renfrew County,,Ontario,true,2000-01-01T00:00:00,
Laurentian Valley,2000,9450,Lower Tier,Renfrew County,,Ontario,true,2000-01-01T00:00:00,
Leamington,2000,29680,Lower Tier,Essex County,,Ontario,true,2000-01-01T00:00:00,
Leeds and the Thousand Islands,2000,9804,Lower Tier,Leeds and Grenville,,Ontario,true,2000-01-01T00:00:00,
Limerick,2000,436,Lower Tier,Hastings County,,Ontario,true,2000-01-01T00:00:00,
Lincoln,2000,25719,Lower Tier,Niagara Region,,Ontario,true,2000-01-01T00:00:00,
London,2000,422324,Single Tier,Middlesex County,,Ontario,true,2000-01-01T00:00:00,
Loyalist,2000,17943,Lower Tier,Lennox and Addington County,,Ontario,true,2000-01-01T00:00:00,
Lucan Biddulph,2000,5680,Lower Tier,Middlesex County,,Ontario,true,2000-01-01T00:00:00,
"Macdonald, Meredith and Aberdeen Additional",2000,1513,Single Tier,Algoma District,,Ontario,true,2000-01-01T00:00:00,
Machar,2000,969,Single Tier,Parry Sound District,,Ontario,true,2000-01-01T00:00:00,
Machin,2000,1012,Single Tier,Kenora District,,Ontario,true,2000-01-01T00:00:00,
Madawaska Valley,2000,3927,Lower Tier,Renfrew County,,Ontario,true,2000-01-01T00:00:00,
Madoc,2000,2233,Lower Tier,Hastings County,,Ontario,true,2000-01-01T00:00:00,
Magnetawan,2000,1753,Single Tier,Parry Sound District,,Ontario,true,2000-01-01T00:00:00,
Malahide,2000,9308,Lower Tier,Elgin County,,Ontario,true,2000-01-01T00:00:00,
Manitoulin - Territorial District,2000,5029,Territorial District,Manitoulin District,,Ontario,true,2000-01-01T00:00:00,
Manitouwadge,2000,1974,Single Tier,Thunderbay District,,Ontario,true,2000-01-01T00:00:00,
Mapleton,2000,10839,Lower Tier,Wellington County,,Ontario,true,2000-01-01T00:00:00,
Marathon,2000,3138,Single Tier,Thunderbay District,,Ontario,true,2000-01-01T00:00:00,
Georgina,2000,47642,Lower Tier,York Region,,Ontario,true,2000-01-01T00:00:00,
Markstay-Warren,2000,2708,Single Tier,Sudbury District,,Ontario,true,2000-01-01T00:00:00,
Marmora and Lake,2000,4267,Lower Tier,Hastings County,,Ontario,true,2000-01-01T00:00:00,
Matachewan,2000,268,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
Mattawa,2000,1881,Single Tier,Nipissing District,,Ontario,true,2000-01-01T00:00:00,
Mattawan,2000,153,Single Tier,Nipissing District,,Ontario,true,2000-01-01T00:00:00,
Mattice-Val Côté,2000,542,Single Tier,Cochrane District,,Ontario,true,2000-01-01T00:00:00,
McDougall,2000,2744,Single Tier,Parry Sound District,,Ontario,true,2000-01-01T00:00:00,
McGarry,2000,579,Single Tier,Timiskaming District,,Ontario,true,2000-01-01T00:00:00,
McKellar,2000,1419,Single Tier,Parry Sound District,,Ontario,true,2000-01-01T00:00:00,
McMurrich/Monteith,2000,907,Single Tier,Parry Sound District,,Ontario,true,2000-01-01T00:00:00,
McNab/Braeside,2000,7591,Lower Tier,Renfrew County,,Ontario,true,2000-01-01T00:00:00,
Meaford,2000,11485,Lower Tier,Grey County,,Ontario,true,2000-01-01T00:00:00,
Melancthon,2000,3132,Lower Tier,Dufferin County,,Ontario,true,2000-01-01T00:00:00,
Merrickville-Wolford,2000,3135,Lower Tier,Leeds and Grenville,,Ontario,true,2000-01-01T00:00:00,
Middlesex Centre,2000,18928,Lower Tier,Middlesex County,,Ontario,true,2000-01-01T00:00:00,
Midland,2000,17817,Lower Tier,Simcoe County,,Ontario,true,2000-01-01T00:00:00,
Milton,2000,132979,Lower Tier,Halton Region,,Ontario,true,2000-01-01T00:00:00,
Minden Hills,2000,6971,Lower Tier,Haliburton County,,Ontario,true,2000-01-01T00:00:00,
Minto,2000,9094,Lower Tier,Wellington County,,Ontario,true,2000-01-01T00:00:00,
King,2000,27333,Lower Tier,York Region,,Ontario,true,2000-01-01T00:00:00,
Mississippi Mills,2000,14740,Lower Tier,Lanark County,,Ontario,true,2000-01-01T00:00:00,
Mono,2000,9421,Lower Tier,Dufferin County,,Ontario,true,2000-01-01T00:00:00,
Montague,2000,3914,Lower Tier,Lanark County,,Ontario,true,2000-01-01T00:00:00,
Moonbeam,2000,1157,Single Tier,Cochrane District,,Ontario,true,2000-01-01T00:00:00,
Moosonee,2000,1512,Single Tier,Cochrane District,,Ontario,true,2000-01-01T00:00:00,
Morley,2000,493,Single Tier,Rainy River District,,Ontario,true,2000-01-01T00:00:00,
Morris-Turnberry,2000,3590,Lower Tier,Huron County,,Ontario,true,2000-01-01T00:00:00,
Mulmur,2000,3571,Lower Tier,Dufferin County,,Ontario,true,2000-01-01T00:00:00,
Muskoka - Territorial District,2000,213,Territorial District,Muskoka District,,Ontario,true,2000-01-01T00:00:00,
Muskoka Lakes,2000,7652,Lower Tier,Muskoka District,,Ontario,true,2000-01-01T00:00:00,
Nairn and Hyman,2000,373,Single Tier,Sudbury District,,Ontario,true,2000-01-01T00:00:00,
Neebing,2000,2241,Single Tier,Thunderbay District,,Ontario,true,2000-01-01T00:00:00,
New Tecumseth,2000,43948,Lower Tier,Simcoe County,,Ontario,true,2000-01-01T00:00:00,
Newbury,2000,440,Lower Tier,Middlesex County,,Ontario,true,2000-01-01T00:00:00,
Markham,2000,338503,Lower Tier,York Region,,Ontario,true,2000-01-01T00:00:00,
Niagara Falls,2000,94415,Lower Tier,Niagara Region,,Ontario,true,2000-01-01T00:00:00,
Niagara-on-the-Lake,2000,19088,Lower Tier,Niagara Region,,Ontario,true,2000-01-01T00:00:00,
Nipigon,2000,1473,Single Tier,Thunderbay District,,Ontario,true,2000-01-01T00:00:00,
Nipissing,2000,1769,Single Tier,Parry Sound District,,Ontario,true,2000-01-01T00:00:00,
Nipissing - Territorial District,2000,3577,Territorial District,Nipissing District,,Ontario,true,2000-01-01T00:00:00,
Norfolk,2000,67490,Single Tier,Haldimand-Norfolk Region,,Ontario,true,2000-01-01T00:00:00,
North Algona Wilberforce,2000,3111,Lower Tier,Renfrew County,,Ontario,true,2000-01-01T00:00:00,
North Bay,2000,52662,Single Tier,Nipissing District,,Ontario,true,2000-01-01T00:00:00,
North Dumfries,2000,10619,Lower Tier,Waterloo Region,,Ontario,true,2000-01-01T00:00:00,
North Dundas,2000,11304,Lower Tier,"Stormont, Dundas and Glengarry",,Ontario,true,2000-01-01T00:00:00,
